doc,sen_idx,sentence,sum_content
0,0,경기 평택시는 일정 규모의 재난 피해에 대해 보상이 가능하도록 조례 제정을 추진하고 있다고 15일 밝혔다.,1
0,1,"시는 국가 차원에서 특별재난지역으로 선포되지 않았지만, 자체적으로 재난안전대책본부가 차려진 피해의 복구 및 및 생계자금 지원을 위해 '평택시 사회재난 구호 및 복구 지원에 관한 조례안'을 시의회 의결을 거쳐 오는 3월부터 시행할 방침이다.",1
0,2,조례안은 시의 행정·재정적 능력이 부족할 경우 경기도의 지원을 받을 수 있도록 규정하고 있다.,0
0,3,"시 관계자는 ""현행법은 특별재난지역으로 선포된 지역에 한해 국고 지원이 가능하다""면서 ""사회재난 구호 조례를 통해 피해 구호 범위를 확대할 방침""이라고 말했다.",0
1,0,설 연휴 기간 병원이나 약국을 가야 한다면 120 다산콜센터나 119에 전화해 문 연 곳을 물어보면 된다.,1
1,1,"서울시는 이달 15∼18일 시청과 자치구별로 ‘응급진료상황실’을 설치하고, 응급·당직의료기관과 휴일 지킴이약국을 지정·운영한다.",1
1,2,연휴 기간 서울 시내 67개 응급의료기관과 종합병원 응급실은 평소처럼 24시간 운영된다. ,1
1,3,당직의료기관은 운영시간을 확인하고 이용해야 한다.,0
1,4," 연휴 때 우리 동네에서 문을 연 병원·의원과 약국은 전화, 인터넷, 스마트폰 앱으로 확인할 수 있다.",0
1,5,"119구급상황관리센터, 서울시, 자치구, 중앙응급의료센터홈페이지에서 확인할 수 있다.",0
1,6," 국번 없이 119나 120을 누르면 안내받을 수 있고, 스마트폰 앱 ‘응급의료정보제공’을 통해서도 가능하다.",0
2,0,18일 자원봉사자 격려하고 알파인스키·컬링 등 관람 예정,0
2,1,이낙연 국무총리는 4일간의 설 연휴 기간 휴식을 취하면서 새해 정국 구상을 가다듬을 예정이다.,1
2,2,15일 총리실에 따르면 이 총리는 이날부터 17일까지 공개일정을 잡지 않고 서울 총리공관에 머물며 휴식을 취한다. ,0
2,3,"부인 김숙희 여사와 아들 내외, 손주들과 시간을 보낼 예정이다.",0
2,4,평소 책을 즐겨 읽는 것으로 알려진 이 총리는 이번 설 연휴에도 독서에 집중할 것으로 보인다.,0
2,5,"이 총리는 지난해 추석연휴 기간 게르하르트 슈뢰더 자서전, 시진핑 평전, 논어 등을 읽은 뒤 자신의 페이스북에 감상평을 남기며 페북 친구들에게 권하기도 했다.",1
2,6,이 총리는 연휴기간 잇따르는 재해재난 등 각종 현안에 대한 검토를 하는 데도 많은 시간을 할애할 것으로 예상된다.,1
2,7,문재인 대통령이 남북관계와 대북구상에 집중한다면 이 총리는 국내에 산적한 현안들을 주로 살필 것으로 보인다.,0
2,8,"제천 화재, 밀양 화재 등 잇따르는 참사를 근본적으로 차단하기 위해 진행하는 국가안전대진단을 꼼꼼히 진행해야 하는 한편 노동혁신에 따른 소상공인들의 애로, 암호화폐(가상화폐), 적폐청산, 개헌 등 장기적으로 풀어야 할 현안이 많다.",0
2,9,여기에 최근 한국 지엠(GM) 군산공장 폐쇄 결정에 따른 지역경제 위축 문제 등도 이슈로 떠올랐다.,0
2,10,이 총리는 3일간 휴식을 취한 뒤 연휴 마지막날인 18일 강원 평창을 찾아 자원봉사자와 조직위원회 관계자들을 격려한다.,0
2,11,"이 총리는 평창올림픽을 하루 앞두고 발신한 메시지로 ""특히 생업을 미루고 여러 불편을 감내하며 궂은일을 맡아 준 자원봉사자 여러분에게 미안하고 고맙다""며 각별한 관심을 보였다.",0
2,12,근무자를 격려한 뒤에는 알파인스키와 컬링 경기를 관람할 것으로 전해졌다. ,0
